teamA;teamB;goalsA;goalsB;region
Panama;Mexiko;1;1;CONCACAF
Costa Rica;Jamaika;1;1;CONCACAF
Honduras;USA;1;4;CONCACAF
USA;Jamaika;2;0;CONCACAF
Honduras;Costa Rica;0;0;CONCACAF
Mexiko;Kanada;1;1;CONCACAF
El Salvador;Panama;1;0;CONCACAF
Jamaika;Kanada;0;0;CONCACAF
Costa Rica;El Salvador;2;1;CONCACAF
Panama;USA;1;0;CONCACAF
Mexiko;Honduras;3;0;CONCACAF
USA;Costa Rica;2;1;CONCACAF
Kanada;Panama;4;1;CONCACAF
Honduras;Jamaika;0;2;CONCACAF
El Salvador;Mexiko;0;2;CONCACAF
Honduras;Panama;2;3;CONCACAF
El Salvador;Jamaika;1;1;CONCACAF
Kanada;Costa Rica;1;0;CONCACAF
USA;Mexiko;2;0;CONCACAF
Jamaika;USA;1;1;CONCACAF
Costa Rica;Honduras;2;1;CONCACAF
Panama;El Salvador;2;1;CONCACAF
Kanada;Mexiko;2;1;CONCACAF
USA;El Salvador;1;0;CONCACAF
Jamaika;Mexiko;1;2;CONCACAF
Honduras;Kanada;0;2;CONCACAF
Costa Rica;Panama;1;0;CONCACAF
Kanada;USA;2;0;CONCACAF
Panama;Jamaika;3;2;CONCACAF
Mexiko;Costa Rica;0;0;CONCACAF
Honduras;El Salvador;0;2;CONCACAF
Jamaika;Costa Rica;0;1;CONCACAF
USA;Honduras;3;0;CONCACAF
El Salvador;Kanada;0;2;CONCACAF
Mexiko;Panama;1;0;CONCACAF
Jamaika;El Salvador;1;1;CONCACAF
Panama;Honduras;1;1;CONCACAF
Mexiko;USA;0;0;CONCACAF
Costa Rica;Kanada;1;0;CONCACAF
Kanada;Jamaika;4;0;CONCACAF
El Salvador;Costa Rica;1;2;CONCACAF
USA;Panama;5;1;CONCACAF
Honduras;Mexiko;0;1;CONCACAF
Panama;Kanada;1;0;CONCACAF
Jamaika;Honduras;2;1;CONCACAF
Mexiko;El Salvador;2;0;CONCACAF
Costa Rica;USA;2;0;CONCACAF
Portugal;Aserbaidschan;1;0;Europe
Serbien;Irland;3;2;Europe
Irland;Luxemburg;0;1;Europe
Serbien;Portugal;2;2;Europe
Aserbaidschan;Serbien;1;2;Europe
Luxemburg;Portugal;1;3;Europe
Luxemburg;Aserbaidschan;2;1;Europe
Portugal;Irland;2;1;Europe
Irland;Aserbaidschan;1;1;Europe
Serbien;Luxemburg;4;1;Europe
Aserbaidschan;Portugal;0;3;Europe
Irland;Serbien;1;1;Europe
Aserbaidschan;Irland;0;3;Europe
Luxemburg;Serbien;0;1;Europe
Portugal;Luxemburg;5;0;Europe
Serbien;Aserbaidschan;3;1;Europe
Aserbaidschan;Luxemburg;1;3;Europe
Irland;Portugal;0;0;Europe
Luxemburg;Irland;0;3;Europe
Portugal;Serbien;1;2;Europe
Schweden;Georgien;1;0;Europe
Spanien;Griechenland;1;1;Europe
Georgien;Spanien;1;2;Europe
Kosovo;Schweden;0;3;Europe
Griechenland;Georgien;1;1;Europe
Spanien;Kosovo;3;1;Europe
Georgien;Kosovo;0;1;Europe
Schweden;Spanien;2;1;Europe
Kosovo;Griechenland;1;1;Europe
Spanien;Georgien;4;0;Europe
Griechenland;Schweden;2;1;Europe
Kosovo;Spanien;0;2;Europe
Georgien;Griechenland;0;2;Europe
Schweden;Kosovo;3;0;Europe
Kosovo;Georgien;1;2;Europe
Schweden;Griechenland;2;0;Europe
Georgien;Schweden;2;0;Europe
Griechenland;Spanien;0;1;Europe
Griechenland;Kosovo;1;1;Europe
Spanien;Schweden;1;0;Europe
Bulgarien;Schweiz;1;3;Europe
Italien;Nordirland;2;0;Europe
Bulgarien;Italien;0;2;Europe
Schweiz;Litauen;1;0;Europe
Litauen;Italien;0;2;Europe
Nordirland;Bulgarien;0;0;Europe
Italien;Bulgarien;1;1;Europe
